defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
MIN,Standard (6),pass,255,-0.18056749,0.39215687,5.262745,0.023529412,0.27058825,0.19607843137254902,7.0,25.0,5.1836734
MIN,Standard (6),run,272,-0.08889908,0.4117647,4.4227943,0.011029412,0.25367647,0.0,0.0,0.0,
MIN,Heavy (7),pass,142,-0.28031275,0.35915494,4.2957745,0.028169014,0.2112676,0.23943661971830985,0.0,18.0,5.3333335
MIN,Heavy (7),run,179,-0.028623967,0.46368715,3.7821229,0.039106146,0.273743,0.0,0.0,0.0,
MIN,Stacked (8+),pass,19,0.0241967,0.42105263,4.1578946,0.10526316,0.36842105,0.42105263157894735,1.0,3.0,7.875
MIN,Stacked (8+),run,41,-0.07063239,0.46341464,2.0243902,0.048780486,0.3902439,0.0,0.0,0.0,
MIN,,pass,1,,,,,,0.0,0.0,0.0,
MIN,,run,1,,,,,,0.0,0.0,0.0,
NE,Light (≤5),pass,132,0.024459919,0.4318182,6.189394,0.060606062,0.3409091,0.13636363636363635,1.0,10.0,5.0789475
NE,Light (≤5),run,13,0.13688903,0.3846154,8.076923,0.0,0.23076923,0.0,0.0,0.0,
NE,Standard (6),pass,326,-0.11989206,0.43558282,5.797546,0.036809817,0.27300614,0.16257668711656442,7.0,21.0,4.5311003
NE,Standard (6),run,164,-0.016365005,0.45731708,4.47561,0.030487806,0.29268292,0.0,0.0,0.0,
NE,Heavy (7),pass,82,-0.021947727,0.47560975,5.256098,0.048780486,0.34146342,0.18292682926829268,2.0,4.0,4.6666665
NE,Heavy (7),run,182,-0.0096196495,0.44505495,4.423077,0.016483517,0.21428572,0.0,0.0,0.0,
NE,Stacked (8+),pass,20,0.13790545,0.55,6.9,0.15,0.45,0.15,0.0,0.0,5.4166665
NE,Stacked (8+),run,43,-0.09565514,0.4651163,2.511628,0.069767445,0.3488372,0.0,0.0,0.0,
NE,,pass,2,,,,,,0.0,0.0,0.0,
NE,,run,2,,,,,,0.0,0.0,0.0,
NO,Light (≤5),pass,74,-0.04184765,0.35135135,5.3783784,0.013513514,0.2972973,0.1891891891891892,2.0,7.0,5.0
NO,Light (≤5),run,23,-0.24685526,0.3478261,4.4347825,0.0,0.2173913,0.0,0.0,0.0,
NO,Standard (6),pass,317,-0.05665776,0.42271292,5.7728705,0.050473187,0.29968455,0.15457413249211358,6.0,27.0,5.345946
NO,Standard (6),run,284,-0.052234527,0.40140846,4.3415494,0.01056338,0.23239437,0.0,0.0,0.0,
NO,Heavy (7),pass,123,-0.008205993,0.4796748,5.8617887,0.048780486,0.3089431,0.14634146341463414,2.0,10.0,5.0128207
NO,Heavy (7),run,173,-0.092226684,0.42774567,4.132948,0.040462427,0.30635837,0.0,0.0,0.0,
NO,Stacked (8+),pass,17,-0.14083335,0.47058824,5.7058825,0.23529412,0.47058824,0.058823529411764705,0.0,1.0,3.9
NO,Stacked (8+),run,18,0.008648402,0.3888889,1.4444444,0.16666667,0.2777778,0.0,0.0,0.0,
NYG,Light (≤5),pass,152,0.034255754,0.4473684,6.894737,0.019736841,0.29605263,0.13815789473684212,4.0,7.0,4.347826
NYG,Light (≤5),run,23,0.46605548,0.5217391,10.043478,0.04347826,0.3478261,0.0,0.0,0.0,
NYG,Standard (6),pass,295,-0.07189725,0.43728814,5.484746,0.037288137,0.32542372,0.15254237288135594,5.0,19.0,4.840909
NYG,Standard (6),run,222,0.19414134,0.527027,5.752252,0.045045044,0.32882884,0.0,0.0,0.0,
NYG,Heavy (7),pass,118,0.24203847,0.4915254,7.059322,0.06779661,0.3983051,0.22033898305084745,0.0,10.0,5.625
NYG,Heavy (7),run,161,0.13116628,0.47204968,5.4720497,0.055900622,0.2795031,0.0,0.0,0.0,
NYG,Stacked (8+),pass,24,0.16045885,0.45833334,6.2083335,0.16666667,0.33333334,0.20833333333333334,0.0,3.0,5.1764708
NYG,Stacked (8+),run,36,-0.0148869455,0.3888889,2.8611112,0.027777778,0.22222222,0.0,0.0,0.0,
NYG,,run,1,,,,,,0.0,0.0,0.0,
