defteam,coverage_look,down,pressure_flag,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
GB,Base (4),1.0,0,15,0.12880965,0.26666668,3.1333334,0.13333334,0.13333334,0.0,0.0,0.0,6.6
GB,Base (4),1.0,1,2,,,,,,1.0,0.0,2.0,
GB,Base (4),2.0,0,17,0.4598505,0.5294118,5.2352943,0.23529412,0.4117647,0.0,0.0,0.0,3.2727273
GB,Base (4),2.0,1,6,,,,,,1.0,0.0,3.0,
GB,Base (4),3.0,0,15,-0.3759684,0.26666668,5.133333,0.13333334,0.2,0.0,2.0,0.0,5.2
GB,Base (4),3.0,1,3,,,,,,1.0,0.0,2.0,
GB,Base (4),4.0,0,2,,,,,,0.0,0.0,0.0,
GB,Base (4),,0,1,,,,,,0.0,0.0,0.0,
GB,Blitz (5),1.0,0,4,,,,,,0.0,0.0,0.0,
GB,Blitz (5),1.0,1,3,,,,,,1.0,0.0,1.0,
GB,Blitz (5),2.0,0,3,,,,,,0.0,0.0,0.0,
GB,Blitz (5),3.0,0,5,,,,,,0.0,1.0,0.0,
GB,Blitz (5),3.0,1,3,,,,,,1.0,0.0,1.0,
GB,Blitz (5),4.0,0,3,,,,,,0.0,1.0,0.0,
GB,Blitz (5),4.0,1,1,,,,,,1.0,0.0,1.0,
GB,Heavy Blitz (6+),1.0,0,2,,,,,,0.0,0.0,0.0,
GB,Heavy Blitz (6+),2.0,1,1,,,,,,1.0,0.0,0.0,
GB,Heavy Blitz (6+),3.0,0,2,,,,,,0.0,0.0,0.0,
GB,Heavy Blitz (6+),,0,1,,,,,,0.0,0.0,0.0,
GB,,1.0,0,38,0.008652469,0.34210527,2.3421052,0.13157895,0.18421052,0.0,0.0,0.0,
GB,,2.0,0,31,0.07495547,0.48387095,2.548387,0.22580644,0.3548387,0.0,0.0,0.0,
GB,,3.0,0,9,,,,,,0.0,0.0,0.0,
GB,,4.0,0,3,,,,,,0.0,0.0,0.0,
GB,,,0,2,,,,,,0.0,0.0,0.0,
HOU,Base (4),1.0,0,13,-0.58737534,0.30769232,3.1538463,0.23076923,0.23076923,0.0,1.0,0.0,0.5
HOU,Base (4),1.0,1,3,,,,,,1.0,0.0,2.0,
HOU,Base (4),2.0,0,16,0.34395275,0.4375,5.5,0.25,0.3125,0.0,0.0,0.0,3.0
HOU,Base (4),2.0,1,4,,,,,,1.0,0.0,3.0,
HOU,Base (4),3.0,0,15,0.13145049,0.4,3.7333333,0.26666668,0.33333334,0.0,0.0,0.0,1.4285715
HOU,Base (4),3.0,1,2,,,,,,1.0,0.0,0.0,
HOU,Base (4),,0,3,,,,,,0.0,0.0,0.0,
HOU,Blitz (5),1.0,0,3,,,,,,0.0,0.0,0.0,
HOU,Blitz (5),2.0,0,2,,,,,,0.0,0.0,0.0,
HOU,Blitz (5),3.0,0,2,,,,,,0.0,0.0,0.0,
HOU,Blitz (5),,0,1,,,,,,0.0,0.0,0.0,
HOU,Heavy Blitz (6+),1.0,0,2,,,,,,0.0,0.0,0.0,
HOU,Heavy Blitz (6+),2.0,0,1,,,,,,0.0,0.0,0.0,
HOU,Heavy Blitz (6+),2.0,1,1,,,,,,1.0,0.0,0.0,
HOU,Heavy Blitz (6+),3.0,0,1,,,,,,0.0,0.0,0.0,
HOU,Heavy Blitz (6+),,0,1,,,,,,0.0,0.0,0.0,
HOU,,1.0,0,25,-0.072580665,0.4,2.0,0.2,0.2,0.0,0.0,0.0,
HOU,,2.0,0,18,0.09338246,0.3888889,2.1666667,0.22222222,0.3888889,0.0,0.0,0.0,
HOU,,3.0,0,5,,,,,,0.0,0.0,0.0,
HOU,,4.0,0,3,,,,,,0.0,0.0,0.0,
IND,Light (≤3),1.0,0,1,,,,,,0.0,0.0,0.0,
IND,Light (≤3),2.0,0,7,,,,,,0.0,1.0,0.0,
IND,Light (≤3),3.0,0,3,,,,,,0.0,1.0,0.0,
IND,Light (≤3),4.0,0,1,,,,,,0.0,0.0,0.0,
IND,Base (4),1.0,0,19,0.03449198,0.57894737,5.3157897,0.15789473,0.21052632,0.0,0.0,0.0,3.0
IND,Base (4),1.0,1,4,,,,,,1.0,0.0,3.0,
